Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctorate-granting institutions, by state or location and major science and engineering fields of study: 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or location and institution,All fields,Science,,,,,,,,,,,,,,,,,,Engineering,,,,,,,,,
,,Life sciences,,,,Physical sciences and earth sciences,,,,Mathematics and computer sciences,,,Psychology and social sciences ,,,,,,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Health sciences,Total,Chemistry,"Geosciences, atmospheric sciences, and ocean sciences",Physics and astronomy,Total,Computer and information sciences,Mathematics and statistics ,Total,Psychology,Anthropology,Economics,Political science and government,Sociology,Other social sciences,Total,"Aerospace, aeronautical, and astronautical",Bioengineering and biomedical,Chemical,Civil,"Electrical, electronics, and communications",Industrial and manufacturing,Materials science,Mechanical,Other engineering
All institutions,"54,664","12,592","1,606","8,477","2,509","6,081","2,697","1,165","2,219","3,843","1,987","1,856","9,079","3,960",455,"1,237",752,689,"1,986","9,843",378,"1,041",936,741,"1,900",253,958,"1,409","2,227"
Alabama,707,188,32,122,34,59,23,7,29,48,20,28,89,67,1,10,8,1,2,131,5,4,14,17,22,6,13,18,32
Alabama A&M U.,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama State U.,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auburn U., Auburn",284,63,24,29,10,16,6,0,10,18,6,12,39,30,0,7,2,0,0,65,2,3,11,7,12,6,2,9,13
Tuskegee U.,12,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
"U. Alabama, Birmingham",127,76,2,60,14,9,5,1,3,12,7,5,9,8,0,0,0,1,0,10,0,1,0,3,0,0,1,1,4
"U. Alabama, Huntsville",42,6,0,5,1,9,0,1,8,3,2,1,0,0,0,0,0,0,0,24,1,0,2,1,4,0,1,3,12
"U. Alabama, Tuscaloosa",199,19,0,10,9,22,12,3,7,15,5,10,31,19,1,3,6,0,2,29,2,0,1,6,6,0,6,5,3
